,Mean,Volatility,Skewness,Kurtosis
ABEV3.SA,0.010677581672185651,0.1362399935063972,0.36525191743179,6.6166962595630565
B3SA3.SA,0.02852286199711011,0.1942072581072736,0.3681896817215112,5.523998553499105
BBAS3.SA,0.037684529688986106,0.15175051178297091,0.11666286411785351,6.427784335213724
BBDC4.SA,0.020806716581201912,0.1593061119501968,0.21586688978389476,6.44274514071259
CMIG4.SA,0.07888175068723972,0.15552912454930273,0.18448307957426938,5.3816184984349285
EGIE3.SA,0.009197121975125502,0.10803281849608593,0.03295787869296676,5.296554157695343
GGBR4.SA,0.05661094737082284,0.19066831731740524,0.28376609075287007,6.2645547438076825
ITUB4.SA,0.03841563559383494,0.14475819571968157,0.16732038781391229,5.999257733198249
LREN3.SA,-0.04980094846807918,0.23405408773690953,-0.07026030845834903,5.184596498980508
PCAR3.SA,-0.059947753377195344,0.27444004682322026,0.28593758894600857,6.863711998462378
PETR4.SA,0.11628275313368236,0.1766953596105904,0.17183818399775505,6.095631863931885
RADL3.SA,0.022670905099208695,0.16350759046561333,0.06415716669018737,5.297682850774905
RAIL3.SA,-0.024605325738701795,0.171547600210053,0.06373978436657136,5.301483507514769
RENT3.SA,0.01552082425111693,0.2073853619322211,0.18261003439446188,5.916303261504051
SANB11.SA,-0.0037589341992263782,0.15895606239078783,-0.03556078787015043,5.860964214611139
SUZB3.SA,0.024711566990392547,0.1591813945305388,0.299382939929618,5.899340712396992
TAEE11.SA,0.04826568179931467,0.09213673838259079,0.3744163178139208,5.615608689721029
VALE3.SA,0.05482684275333395,0.1650267949474291,0.5630847584850801,6.302553845247134
WEGE3.SA,0.07446080778270511,0.16983003982898823,0.48874636300552965,6.623293823257592
