Method,VaR,ES,ES_VaR_Ratio,VaR_Diff_%,ES_Diff_%
Copula-EVT,-0.02477724896379104,-0.02886832639429822,1.1651142722295682,-66.7845713385001,-67.3895615887679
Independence,-0.01485583994067653,-0.017246192725697017,1.160903240379933,0.0,0.0
