Confidence,VaR,ES,ES_VaR_Ratio
0.95,-0.01623772950227825,-0.02132083807001416,1.313043062271897
0.99,-0.02477724896379104,-0.028868326394298215,1.165114272229568
0.995,-0.02798900064904071,-0.03137498515833639,1.1209755414905007
