ticker,years,estimate,ci_lower,ci_upper,loss_pct,ci_loss_lower,ci_loss_upper,method,exceedance_prob
ABEV3.SA,1,-0.9899700572592722,-1.1532926386224172,-0.8362828828404363,98.99700572592722,83.62828828404363,115.32926386224172,gev,0.0873015873015873
ABEV3.SA,5,-0.3991610082859127,-0.6597901766324918,-0.2218105774384411,39.91610082859127,22.18105774384411,65.97901766324918,gev,0.01746031746031746
ABEV3.SA,10,-0.23023806769833044,-0.5356867434126621,-0.043971535115820456,23.023806769833044,4.3971535115820455,53.56867434126621,gev,0.00873015873015873
ABEV3.SA,20,-0.09618789782514625,-0.4421141185390017,0.14088467721884082,9.618789782514625,14.088467721884083,44.21141185390017,gev,0.004365079365079365
ABEV3.SA,50,0.039875918196698557,-0.3579876707362764,0.3193492488256091,3.9875918196698557,31.93492488256091,35.798767073627644,gev,0.001746031746031746
B3SA3.SA,1,-1.0012216213591825,-1.2060713681967745,-0.7799827862603841,100.12216213591824,77.99827862603841,120.60713681967745,gev,0.0873015873015873
B3SA3.SA,5,-0.156130231744934,-0.5383850204768252,0.19030993069590488,15.613023174493401,19.030993069590487,53.838502047682525,gev,0.01746031746031746
B3SA3.SA,10,0.13737556284169372,-0.3302998543790791,0.5475691216581485,13.737556284169372,54.75691216581485,33.02998543790791,gev,0.00873015873015873
B3SA3.SA,20,0.3977044729887691,-0.15909539044077498,0.9035673800624655,39.77044729887691,90.35673800624654,15.909539044077498,gev,0.004365079365079365
B3SA3.SA,50,0.6979258767469383,0.013948339516994722,1.3753092753990235,69.79258767469383,137.53092753990234,1.394833951699472,gev,0.001746031746031746
BBAS3.SA,1,-0.7866875442453642,-0.9544324674658211,-0.6356883057112701,78.66875442453643,63.56883057112701,95.4432467465821,gev,0.0873015873015873
BBAS3.SA,5,-0.21238311486106687,-0.4613905518518167,-0.06024791287575566,21.23831148610669,6.0247912875755665,46.13905518518167,gev,0.01746031746031746
BBAS3.SA,10,-0.05856458502751938,-0.34588208734012005,0.09801960059673362,5.856458502751938,9.801960059673362,34.58820873401201,gev,0.00873015873015873
BBAS3.SA,20,0.05908976235721175,-0.2616042276922953,0.2525717072567051,5.908976235721175,25.25717072567051,26.16042276922953,gev,0.004365079365079365
BBAS3.SA,50,0.17359457636872033,-0.18784141127730072,0.3929809385117889,17.359457636872033,39.29809385117889,18.784141127730074,gev,0.001746031746031746
BBDC4.SA,1,-0.7868150636266367,-0.9519749112808459,-0.6385099066145381,78.68150636266367,63.85099066145381,95.1974911280846,gev,0.0873015873015873
BBDC4.SA,5,-0.2239107842597421,-0.4672034101680036,-0.07811702774934691,22.391078425974207,7.811702774934691,46.72034101680036,gev,0.01746031746031746
BBDC4.SA,10,-0.07462436926949234,-0.35470506757823445,0.07568072381053384,7.462436926949234,7.568072381053384,35.47050675782344,gev,0.00873015873015873
BBDC4.SA,20,0.0389341089311519,-0.27303726006353285,0.2226851564588284,3.89341089311519,22.26851564588284,27.303726006353283,gev,0.004365079365079365
BBDC4.SA,50,0.1487577783274392,-0.20160713781552284,0.35542833003606633,14.87577783274392,35.54283300360663,20.160713781552282,gev,0.001746031746031746
CMIG4.SA,1,-0.7637257652084442,-0.9345370391060246,-0.6036352757808238,76.37257652084442,60.363527578082376,93.45370391060246,gev,0.0873015873015873
CMIG4.SA,5,-0.1487588529188657,-0.41973692826825904,0.03411732793833517,14.87588529188657,3.411732793833517,41.9736928268259,gev,0.01746031746031746
CMIG4.SA,10,0.02617335705751289,-0.29100826647257444,0.21781560257631455,2.617335705751289,21.781560257631455,29.100826647257446,gev,0.00873015873015873
CMIG4.SA,20,0.16459114121427998,-0.1941933552299272,0.40812307141247106,16.459114121427998,40.8123071412471,19.41933552299272,gev,0.004365079365079365
CMIG4.SA,50,0.3046239897562093,-0.1073787609949417,0.5913720800614255,30.46239897562093,59.13720800614255,10.73787609949417,gev,0.001746031746031746
EGIE3.SA,1,-0.9484686444961008,-1.122014297887159,-0.7838069587829976,94.84686444961008,78.38069587829976,112.2014297887159,gev,0.0873015873015873
EGIE3.SA,5,-0.31384895962595083,-0.5948346260406276,-0.11690608225608566,31.38489596259508,11.690608225608566,59.483462604062765,gev,0.01746031746031746
