,mean,std,skewness,kurtosis,min,max,q25,median,q75,jb_statistic,jb_pvalue,is_normal
BRL=X,6.884451007355682e-05,0.005301412948105099,0.22808959207045354,5.2369990059194755,-0.01910165924097258,0.01977588586279916,0.0,0.0,0.0,5250.267585966429,0.0,False
^BVSP,0.0001447200889128603,0.006501428431877803,-0.067920297110296,5.158913765502962,-0.024451687910339064,0.023003869665129708,0.0,0.0,0.0,5059.898837899761,0.0,False
EWZ,9.713770011108282e-05,0.010359166945901931,-0.2638305425807368,5.58582761468382,-0.041718842135297175,0.03643216002230715,0.0,0.0,0.0,5981.107006041883,0.0,False
GLD,0.00024800213008227984,0.005209096507072467,0.03507980518409035,5.429556564071952,-0.019440220092038676,0.019151684940351972,0.0,0.0,0.0,5601.909405694998,0.0,False
SPY,0.00020495175994267371,0.005760721002062654,-0.32804198770049436,6.3776270960697445,-0.02407605911344793,0.02109789593368022,0.0,0.0,0.0,7810.250055418768,0.0,False
TLT,-7.342468056207789e-05,0.005382961212882209,-0.12314164236818562,4.618086165800472,-0.019633126581703315,0.018957905350263458,0.0,0.0,0.0,4063.103168607995,0.0,False
UUP,4.261511858787916e-05,0.0023496939768523706,-0.03761599497959232,4.864628420411719,-0.008696615853536992,0.008364873259267174,0.0,0.0,0.0,4496.90499372696,0.0,False
^VIX,-0.00039895480059288054,0.03756800972281464,0.7562039353221319,6.5271304708453926,-0.12701266983192736,0.16384294700548463,0.0,0.0,0.0,8530.418105146584,0.0,False
