Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-01-02 00:00:00-03:00,38.330958346157054,38.93917285101992,38.121464369985986,38.85807800292969,3648944,0.0,0.0
2020-01-03 00:00:00-03:00,38.52017912319876,39.33112754870565,38.222830319117605,38.5877571105957,5129841,0.0,0.0
2020-01-06 00:00:00-03:00,38.51342291165054,39.00675201514758,38.12822237164703,38.55397033691406,4589659,0.0,0.0
2020-01-07 00:00:00-03:00,38.45260418004272,38.62155389200409,37.95927818986051,38.53369903564453,4187053,0.0,0.0
2020-01-08 00:00:00-03:00,38.52018652309131,38.851325956577185,38.35123680586415,38.78374481201172,5096179,0.0,0.0
2020-01-09 00:00:00-03:00,38.85807980866343,39.195976072803475,38.31068641443089,38.486392974853516,4566730,0.0,0.0
2020-01-10 00:00:00-03:00,38.49315442073042,39.18246388790348,38.38502898675554,38.60803985595703,6152882,0.0,0.0
2020-01-13 00:00:00-03:00,38.756708217325816,39.446014404296875,38.73643450594432,39.446014404296875,4511845,0.0,0.0
2020-01-14 00:00:00-03:00,39.500072978759654,39.63523208318088,38.35798216221365,38.9459228515625,6797833,0.0,0.0
2020-01-15 00:00:00-03:00,38.945930279857734,38.99999456077521,38.195799779802584,38.68912887573242,4954944,0.0,0.0
2020-01-16 00:00:00-03:00,38.925654381541904,39.297341182673776,38.28365247937538,38.99999237060547,3470144,0.0,0.0
2020-01-17 00:00:00-03:00,39.19597755615277,40.020442962646484,38.837807565493314,40.020442962646484,4257061,0.0,0.0
2020-01-20 00:00:00-03:00,39.87175957407874,40.41914970019537,39.51358967806403,40.20965576171875,3761640,0.0,0.0
2020-01-21 00:00:00-03:00,39.946106929206316,40.20290519943906,39.57442009230236,39.83797836303711,5993474,0.0,0.0
2020-01-22 00:00:00-03:00,40.06773865740829,40.709740452311415,39.93257955737989,40.44618225097656,3247436,0.0,0.0
2020-01-23 00:00:00-03:00,39.669031386619025,41.135501861572266,39.34464883569151,41.135501861572266,4738456,0.0,0.0
2020-01-24 00:00:00-03:00,41.115227450507795,41.15577802294915,40.594867739840815,40.66244888305664,3551494,0.0,0.0
2020-01-27 00:00:00-03:00,40.20966340300833,40.20966340300833,39.4662897624211,39.790672302246094,3703462,0.0,0.0
2020-01-28 00:00:00-03:00,39.669035560473866,40.716511886350226,39.540633269004516,40.324554443359375,3630283,0.0,0.0
2020-01-29 00:00:00-03:00,40.669203924844304,40.87869791341728,40.09477995407556,40.54756164550781,3051682,0.0,0.0
2020-01-30 00:00:00-03:00,40.16910953263276,40.189383241606876,38.99322812376285,40.006919860839844,6272530,0.0,0.0
2020-01-31 00:00:00-03:00,39.87175889218171,39.88527260141003,38.47286674988121,38.82427978515625,10297980,0.0,0.0
2020-02-03 00:00:00-03:00,38.824291391120255,39.36492481487572,38.79726082039773,39.04730224609375,4062039,0.0,0.0
2020-02-04 00:00:00-03:00,39.669019646015926,39.669019646015926,38.45259094238281,38.45259094238281,9909766,0.0,0.0
2020-02-05 00:00:00-03:00,38.92566038898998,39.26355667557076,38.0876781013395,38.65534210205078,17239000,0.0,0.0
2020-02-06 00:00:00-03:00,38.858080695117124,39.19597696696546,37.3172721862793,37.3172721862793,9920011,0.0,0.0
2020-02-07 00:00:00-03:00,38.16877005904828,38.39854089991044,37.317270978480025,37.55379867553711,10843651,0.0,0.0
2020-02-10 00:00:00-03:00,37.54028080397218,37.972788760850484,36.45225719995032,37.141563415527344,7390216,0.0,0.0
2020-02-11 00:00:00-03:00,37.30375662807312,38.357992907177874,36.87125177463031,38.17552947998047,5388041,0.0,0.0
2020-02-12 00:00:00-03:00,38.33095753827094,38.99999316510048,37.60786077664473,38.283653259277344,7680736,0.0,0.0
2020-02-13 00:00:00-03:00,38.01334286842522,38.8580852184732,37.51325683094595,38.72968292236328,4742847,0.0,0.0
2020-02-14 00:00:00-03:00,38.88511612591443,38.88511612591443,37.60786887614986,38.148502349853516,3737125,0.0,0.0
2020-02-17 00:00:00-03:00,38.27689838684777,38.72292324587881,38.040373816009044,38.65534210205078,1802884,0.0,0.0
2020-02-18 00:00:00-03:00,38.520180354524385,38.68912690051018,38.0200912838949,38.4188117980957,3935561,0.0,0.0
2020-02-19 00:00:00-03:00,38.08768399454703,38.5539794958514,37.90522053751488,38.18905258178711,3119373,0.0,0.0
2020-02-20 00:00:00-03:00,37.91196826950384,38.36474994631206,37.27672317958412,37.52676773071289,4723820,0.0,0.0
2020-02-21 00:00:00-03:00,37.168590850332,38.03360347380553,37.01315803481335,37.844383239746094,4718942,0.0,0.0
2020-02-26 00:00:00-03:00,35.28314502030573,36.141401162941854,34.81684637053378,35.58049392700195,9081990,0.0,0.0
2020-02-27 00:00:00-03:00,35.0398436661615,35.830521491231345,34.14104043706686,34.499210357666016,11761192,0.0,0.0
2020-02-28 00:00:00-03:00,34.12751996302068,36.01974105834961,33.14086514430948,36.01974105834961,13423573,0.0,0.0
2020-03-02 00:00:00-03:00,35.8170166015625,36.33061951667057,34.938486788755604,35.8170166015625,10405675,0.0,0.0
2020-03-03 00:00:00-03:00,35.479124214933826,36.95235184192804,35.26287018562456,36.04003143310547,7372043,0.0,0.0
2020-03-04 00:00:00-03:00,36.499552336353354,37.14155411063486,35.904854830678886,36.864479064941406,7011637,0.0,0.0
2020-03-05 00:00:00-03:00,36.42523253565969,36.83071002502466,34.14105305472055,35.00606918334961,7260445,0.0,0.0
2020-03-06 00:00:00-03:00,33.11384114271658,34.81683936993675,32.43804859466874,34.31675338745117,12701419,0.0,0.0
2020-03-09 00:00:00-03:00,32.94489503313296,32.94489503313296,30.498526226923165,31.086463928222656,10743883,0.0,0.0
2020-03-10 00:00:00-03:00,32.50561919497854,33.95857238769531,31.336497900027947,33.95857238769531,14677860,0.0,0.0
2020-03-11 00:00:00-03:00,32.44480958245206,33.9585844330663,29.795700449690703,31.823078155517578,10216142,0.0,0.0
2020-03-12 00:00:00-03:00,27.031708461744678,29.68757439506929,25.923407918031696,29.20100212097168,13411377,0.0,0.0
2020-03-13 00:00:00-03:00,34.46542144311934,34.46542144311934,28.538722187364257,31.61357879638672,15956295,0.0,0.0
2020-03-16 00:00:00-03:00,26.355917503718064,27.903484651465096,23.308093786296816,24.93675422668457,17340597,0.0,0.0
2020-03-17 00:00:00-03:00,25.71391182558292,27.166867045333717,24.23392603611917,26.0450496673584,21571557,0.0,0.0
2020-03-18 00:00:00-03:00,22.976951304353623,23.65950227959858,17.786863350844897,21.6253662109375,29361575,0.0,0.0
2020-03-19 00:00:00-03:00,19.94263998200439,24.902958230815777,19.429038759790487,24.869169235229492,20940755,0.0,0.0
2020-03-20 00:00:00-03:00,25.054465048860354,25.555553719739454,22.1088713868559,23.30065155029297,23964630,0.060376,0.0
2020-03-23 00:00:00-03:00,22.752163377469913,22.752163377469913,19.528940442361055,20.314430236816406,20779762,0.0,0.0
2020-03-24 00:00:00-03:00,22.54901547960609,24.709117670806606,22.196899352410156,22.339099884033203,19668906,0.0,0.0
2020-03-25 00:00:00-03:00,22.142728054602653,27.0114185844189,22.142728054602653,24.91903305053711,11854130,0.0,0.0
2020-03-26 00:00:00-03:00,24.140317691904297,27.42448383511503,23.794971915173715,26.1988468170166,11278333,0.0,0.0
2020-03-27 00:00:00-03:00,24.58046264625986,25.596184008878726,24.052286025462497,24.377317428588867,12087570,0.0,0.0
2020-03-30 00:00:00-03:00,24.377310198053564,25.46074631187227,23.89653600341807,24.167394638061523,9478254,0.0,0.0
2020-03-31 00:00:00-03:00,24.03874104803715,24.505972950462063,22.16304303448386,22.725074768066406,11177712,0.0,0.0
2020-04-01 00:00:00-03:00,21.668725811827407,22.07501464724068,20.734261962950466,21.8380126953125,11433595,0.0,0.0
2020-04-02 00:00:00-03:00,21.817695780322726,23.253248132322764,21.269206468006583,21.76352310180664,10023681,0.0,0.0
2020-04-03 00:00:00-03:00,21.601015562477002,21.74321613526013,19.77948816378296,20.964496612548828,11361270,0.0,0.0
2020-04-06 00:00:00-03:00,22.14272825166644,23.964255123551204,22.007298123734532,23.530879974365234,11021719,0.0,0.0
2020-04-07 00:00:00-03:00,25.73160832064003,26.00246856604564,24.47888677424207,25.054462432861328,21459472,0.0,0.0
2020-04-08 00:00:00-03:00,25.257603420291343,25.73160565006627,24.58045602754578,25.562318801879883,13887040,0.0,0.0
2020-04-09 00:00:00-03:00,25.792552749746086,26.61190073166859,24.77005958557129,24.77005958557129,13224161,0.0,0.0
2020-04-13 00:00:00-03:00,24.44503241486516,25.007065782334596,23.639226677345388,24.404403686523438,12894002,0.0,0.0
2020-04-14 00:00:00-03:00,24.756519645262053,26.17175944628076,24.417945861816406,24.417945861816406,16762239,0.0,0.0
