Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-01-02 00:00:00-03:00,10.683849516042143,11.034140260045156,10.678542109515861,11.018218040466309,17125164,0.0,0.0
2020-01-03 00:00:00-03:00,10.747542613673403,10.927994495701595,10.604241951953494,10.8377685546875,18061470,0.0,0.0
2020-01-06 00:00:00-03:00,10.774078804353998,10.832460290988216,10.524629996433317,10.811230659484863,14674968,0.0,0.0
2020-01-07 00:00:00-03:00,10.843075053378016,11.012912104569017,10.683852180130163,10.981067657470703,15638868,0.0,0.0
2020-01-08 00:00:00-03:00,10.938608618056076,11.11375435618612,10.885534538475035,11.023527145385742,11968362,0.0,0.0
2020-01-09 00:00:00-03:00,11.03944785001231,11.076599696313632,10.7953058702342,10.965144157409668,8012088,0.0,0.0
2020-01-10 00:00:00-03:00,10.991679785233618,11.257051388337413,10.970450159026296,11.113751411437988,11538198,0.0,0.0
2020-01-13 00:00:00-03:00,11.262358739852976,11.686953812949069,11.251743926801186,11.591419219970703,13157802,0.0,0.0
2020-01-14 00:00:00-03:00,11.575498167990993,11.76125869064687,11.30481913235524,11.368509292602539,20278944,0.0,0.0
2020-01-15 00:00:00-03:00,11.373818992126095,11.612653633532966,11.087217677540377,11.198673248291016,17880282,0.0,0.0
2020-01-16 00:00:00-03:00,11.225207054356868,11.347277406194404,11.081907076112806,11.304818153381348,15441552,0.0,0.0
2020-01-17 00:00:00-03:00,11.35258868386485,11.501196102686844,11.241131844235781,11.448122024536133,11054484,0.0,0.0
2020-01-20 00:00:00-03:00,11.426892605822365,11.862101330265903,11.352588895029278,11.819642066955566,12423222,0.0,0.0
2020-01-21 00:00:00-03:00,11.729414879277096,11.814333396825266,11.469350643773366,11.570191383361816,14942340,0.0,0.0
2020-01-22 00:00:00-03:00,11.676339592253312,11.724106253409628,11.400353163393378,11.713491439819336,11400102,0.0,0.0
2020-01-23 00:00:00-03:00,11.564884673468232,11.862100778323748,11.395047628129387,11.761260032653809,12393360,0.0,0.0
2020-01-24 00:00:00-03:00,11.782488815533464,11.9629406632219,11.43750606649901,11.501194953918457,14767326,0.0,0.0
2020-01-27 00:00:00-03:00,10.91206839242439,11.044754828151031,10.588315963745117,10.588315963745117,29253420,0.0,0.0
2020-01-28 00:00:00-03:00,10.7210054397583,10.954532677363806,10.667930719708139,10.7210054397583,14515830,0.0,0.0
2020-01-29 00:00:00-03:00,10.853689671411718,10.869611894670902,10.561780969480802,10.689159393310547,15284430,0.0,0.0
2020-01-30 00:00:00-03:00,10.450325198668635,11.034142590910466,10.402558529841809,11.00760555267334,19281906,0.0,0.0
2020-01-31 00:00:00-03:00,10.827152616663913,10.922685956077991,10.6201630768438,10.641392707824707,13311900,0.0,0.0
2020-02-03 00:00:00-03:00,10.641393928668318,10.927994617547354,10.487478448642378,10.90676498413086,10747170,0.0,0.0
2020-02-04 00:00:00-03:00,11.119058748100182,11.373815536499023,11.113751341581711,11.373815536499023,12738222,0.0,0.0
2020-02-05 00:00:00-03:00,11.49588684663089,11.612651075302367,11.357892990112305,11.357892990112305,12083526,0.0,0.0
2020-02-06 00:00:00-03:00,11.522423406720938,11.83025427333391,11.272974014282227,11.272974014282227,27302310,0.0,0.0
2020-02-07 00:00:00-03:00,11.251744438673569,11.320742002161348,10.747539520263672,10.747539520263672,18733554,0.0,0.0
2020-02-10 00:00:00-03:00,10.747539218140355,10.949220669629934,10.498089831575172,10.577701568603516,21223944,0.0,0.0
2020-02-11 00:00:00-03:00,10.774078607021542,11.288899712573807,10.652007590356762,11.193365097045898,18454716,0.0,0.0
2020-02-12 00:00:00-03:00,11.331359751773192,11.495889404192225,11.172136231984057,11.294206619262695,13903974,0.0,0.0
2020-02-13 00:00:00-03:00,11.145595605676453,11.294202985860087,10.943914161141523,11.241128921508789,11366460,0.0,0.0
2020-02-14 00:00:00-03:00,11.161519028484516,11.177441249506737,10.721002971357393,10.88022518157959,10507140,0.0,0.0
2020-02-17 00:00:00-03:00,10.981066172397147,11.039448926360981,10.758155072855338,10.986374855041504,7403256,0.0,0.0
2020-02-18 00:00:00-03:00,10.88022571585945,10.927992381271718,10.646699158309913,10.890840530395508,10530954,0.0,0.0
2020-02-19 00:00:00-03:00,10.6838519290776,11.055372383096678,10.333561743714812,10.843074798583984,24423462,0.0,0.0
2020-02-20 00:00:00-03:00,10.82715075255105,10.880224820865543,10.307022969800528,10.365405082702637,19387998,0.0,0.0
2020-02-21 00:00:00-03:00,10.29640987334374,10.333561727359964,10.00450117341799,10.137187004089355,21304584,0.0,0.0
2020-02-26 00:00:00-03:00,9.52683064677095,9.601134977593377,8.990780662095768,9.075699806213379,33225318,0.0,0.0
2020-02-27 00:00:00-03:00,8.996089221969251,9.351686788454908,8.85809599368611,9.070393562316895,22835988,0.0,0.0
2020-02-28 00:00:00-03:00,8.969553316169858,9.038550257888362,8.571496440875338,8.985475540161133,30254742,0.0,0.0
2020-03-02 00:00:00-03:00,9.166247972394524,9.325753486093033,8.90572206576122,9.203466415405273,17236044,0.02381,0.0
2020-03-03 00:00:00-03:00,9.203465004932111,9.554376314623998,9.022691563408223,9.283217430114746,26572896,0.0,0.0
2020-03-04 00:00:00-03:00,9.570328760986705,9.857438170205556,9.336387003681413,9.745784759521484,20382768,0.0,0.0
2020-03-05 00:00:00-03:00,9.51715944479505,9.570327729868577,8.926988286037348,9.267267227172852,13468014,0.0,0.0
2020-03-06 00:00:00-03:00,8.73026691321127,8.815336181820424,8.342136458516801,8.586711883544922,27053586,0.0,0.0
2020-03-09 00:00:00-03:00,7.847669853311322,7.884888299280452,6.975706607264335,7.044826030731201,26683272,0.0,0.0
